country,Indicator Name,2021,2022
Aruba,population,106537,106445
Africa Eastern and Southern,population,702977106,720859132
Afghanistan,population,40099462,41128771
Africa Western and Central,population,478185907,490330870
Angola,population,34503774,35588987
Albania,population,2811666,2777689
Andorra,population,79034,79824
Arab World,population,456520777,464684914
United Arab Emirates,population,9365145,9441129
Argentina,population,45808747,46234830
Armenia,population,2790974,2780469
American Samoa,population,45035,44273
Antigua and Barbuda,population,93219,93763
Australia,population,25685412,26005540
Austria,population,8955797,9041851
Azerbaijan,population,10137750,10141756
Burundi,population,12551213,12889576
Belgium,population,11586195,11685814
Benin,population,12996895,13352864
Burkina Faso,population,22100683,22673762
Bangladesh,population,169356251,171186372
Bulgaria,population,6877743,6465097
Bahrain,population,1463265,1472233
"Bahamas, The",population,407906,409984
Bosnia and Herzegovina,population,3270943,3233526
Belarus,population,9302585,9228071
Belize,population,400031,405272
Bermuda,population,63764,63532
Bolivia,population,12079472,12224110
Brazil,population,214326223,215313498
Barbados,population,281200,281635
Brunei Darussalam,population,445373,449002
Bhutan,population,777486,782455
Botswana,population,2588423,2630296
Central African Republic,population,5457154,5579144
Canada,population,38226498,38929902
Central Europe and the Baltics,population,101413176,100108221
Switzerland,population,8704546,8775760
Channel Islands,population,172683,174079
Chile,population,19493184,19603733
China,population,1412360000,1412175000
Cote d'Ivoire,population,27478249,28160542
Cameroon,population,27198628,27914536
"Congo, Dem. Rep.",population,95894118,99010212
"Congo, Rep.",population,5835806,5970424
Colombia,population,51516562,51874024
Comoros,population,821625,836774
Cabo Verde,population,587925,593149
Costa Rica,population,5153957,5180829
Caribbean small states,population,7481877,7505478
Cuba,population,11256372,11212191
Curacao,population,152369,149996
Cayman Islands,population,68136,68706
Cyprus,population,1244188,1251488
Czechia,population,10505772,10672118
Germany,population,83196078,83797985
Djibouti,population,1105557,1120849
Dominica,population,72412,72737
Denmark,population,5856733,5903037
Dominican Republic,population,11117873,11228821
Algeria,population,44177969,44903225
East Asia & Pacific (excluding high income),population,2123628421,2129112126
Early-demographic dividend,population,3411268373,3447398652
East Asia & Pacific,population,2370189840,2375162207
Europe & Central Asia (excluding high income),population,401682855,397824705
Europe & Central Asia,population,923564027,920375568
Ecuador,population,17797737,18001000
"Egypt, Arab Rep.",population,109262178,110990103
Euro area,population,346942979,348331511
Eritrea,population,3620312,3684032
Spain,population,47415794,47778340
Estonia,population,1330932,1348840
Ethiopia,population,120283026,123379924
European Union,population,447178112,447370510
Fragile and conflict affected situations,population,1001844479,1019139254
Finland,population,5541017,5556106
Fiji,population,924610,929766
France,population,67764304,67971311
Faroe Islands,population,52889,53090
"Micronesia, Fed. Sts.",population,113131,114164
Gabon,population,2341179,2388992
United Kingdom,population,67026292,66971395
Georgia,population,3708610,3712502
Ghana,population,32833031,33475870
Gibraltar,population,32669,32649
Guinea,population,13531906,13859341
"Gambia, The",population,2639916,2705992
Guinea-Bissau,population,2060721,2105566
Equatorial Guinea,population,1634466,1674908
Greece,population,10569207,10426919
Grenada,population,124610,125438
Greenland,population,56653,56661
Guatemala,population,17109746,17357886
Guam,population,170534,171774
Guyana,population,804567,808726
High income,population,1241268556,1244364814
"Hong Kong SAR, China",population,7413100,7346100
Honduras,population,10278345,10432860
Heavily indebted poor countries (HIPC),population,861156745,884288332
Croatia,population,3879000,3855600
Haiti,population,11447569,11584996
Hungary,population,9709891,9643048
IBRD only,population,4895372787,4913887020
IDA & IBRD total,population,6695487825,6754029970
IDA total,population,1800115038,1840142950
IDA blend,population,595016031,607735968
Indonesia,population,273753191,275501339
IDA only,population,1205099007,1232406982
Isle of Man,population,84263,84519
India,population,1407563842,1417173173
Not classified,population,,
Ireland,population,5033164,5127170
"Iran, Islamic Rep.",population,87923432,88550570
Iraq,population,43533592,44496122
Iceland,population,372520,382003
Israel,population,9371400,9557500
Italy,population,59133173,58940425
Jamaica,population,2827695,2827377
Jordan,population,11148278,11285869
Japan,population,125681593,125124989
Kazakhstan,population,19000988,19621972
Kenya,population,53005614,54027487
Kyrgyz Republic,population,6773400,6974900
Cambodia,population,16589023,16767842
Kiribati,population,128874,131232
St. Kitts and Nevis,population,47606,47657
"Korea, Rep.",population,51744876,51628117
Kuwait,population,4250114,4268873
Latin America & Caribbean (excluding high income),population,592503434,596596955
Lao PDR,population,7425057,7529475
Lebanon,population,5592631,5489739
Liberia,population,5193416,5302681
Libya,population,6735277,6812341
St. Lucia,population,179651,179857
Latin America & Caribbean,population,654980630,659310564
Least developed countries: UN classification,population,1098791080,1124396999
Low income,population,685250041,703727949
Liechtenstein,population,39039,39327
Sri Lanka,population,22156000,22181000
Lower middle income,population,3157462375,3190184199
Low & middle income,population,6618837270,6678280291
Lesotho,population,2281454,2305825
Late-demographic dividend,population,2322606486,2325542891
Lithuania,population,2800839,2831639
Luxembourg,population,640064,653103
Latvia,population,1884490,1879383
"Macao SAR, China",population,686607,695168
St. Martin (French part),population,31948,31791
Morocco,population,37076584,37457971
Monaco,population,36686,36469
Moldova,population,2595809,2538894
Madagascar,population,28915653,29611714
Maldives,population,521457,523787
Middle East & North Africa,population,486174763,493279469
Mexico,population,126705138,127504125
Marshall Islands,population,42050,41569
Middle income,population,5933587229,5974552342
North Macedonia,population,2065092,2057679
Mali,population,21904983,22593590
Malta,population,518536,531113
Myanmar,population,53798084,54179306
Middle East & North Africa (excluding high income),population,418047201,424328381
Montenegro,population,619211,617213
Mongolia,population,3347782,3398366
Northern Mariana Islands,population,49481,49551
Mozambique,population,32077072,32969518
Mauritania,population,4614974,4736139
Mauritius,population,1266334,1262523
Malawi,population,19889742,20405317
Malaysia,population,33573874,33938221
North America,population,370321816,372280991
Namibia,population,2530151,2567012
New Caledonia,population,270390,269220
Niger,population,25252722,26207977
Nigeria,population,213401323,218541212
Nicaragua,population,6850540,6948392
Netherlands,population,17533044,17700982
Norway,population,5408320,5457127
Nepal,population,30034989,30547580
Nauru,population,12511,12668
New Zealand,population,5111400,5124100
OECD members,population,1371917156,1376606817
Oman,population,4520471,4576298
Other small states,population,32708277,33169026
Pakistan,population,231402117,235824862
Panama,population,4351267,4408581
Peru,population,33715471,34049588
Philippines,population,113880328,115559009
Palau,population,18024,18055
Papua New Guinea,population,9949437,10142619
Poland,population,37747124,36821749
Pre-demographic dividend,population,1011043183,1038012552
Puerto Rico,population,3262693,3221789
"Korea, Dem. People's Rep.",population,25971909,26069416
Portugal,population,10361831,10409704
Paraguay,population,6703799,6780744
West Bank and Gaza,population,4922749,5043612
Pacific island small states,population,2602173,2639019
Post-demographic dividend,population,1116569892,1113495082
French Polynesia,population,304032,306279
Qatar,population,2688235,2695122
Romania,population,19122059,19047009
Russian Federation,population,144130482,144236933
Rwanda,population,13461888,13776698
South Asia,population,1901911604,1919348000
Saudi Arabia,population,35950396,36408820
Sudan,population,45657202,46874204
Senegal,population,16876720,17316449
Singapore,population,5453566,5637022
Solomon Islands,population,707851,724273
Sierra Leone,population,8420641,8605718
El Salvador,population,6314167,6336392
San Marino,population,33745,33660
Somalia,population,17065581,17597511
Serbia,population,6834326,6664449
Sub-Saharan Africa (excluding high income),population,1181063755,1211070124
South Sudan,population,10748272,10913164
Sub-Saharan Africa,population,1181163013,1211190002
Small states,population,42792327,43313523
Sao Tome and Principe,population,223107,227380
Suriname,population,612985,618040
Slovak Republic,population,5447247,5431752
Slovenia,population,2108079,2111986
Sweden,population,10415811,10486941
Eswatini,population,1192271,1201670
Sint Maarten (Dutch part),population,42668,42848
Seychelles,population,99258,119878
Syrian Arab Republic,population,21324367,22125249
Turks and Caicos Islands,population,45114,45703
Chad,population,17179740,17723315
East Asia & Pacific (IDA & IBRD countries),population,2097669023,2103055378
Europe & Central Asia (IDA & IBRD countries),population,462431038,457549063
Togo,population,8644829,8848699
Thailand,population,71601103,71697030
Tajikistan,population,9750064,9952787
Turkmenistan,population,6341855,6430770
Latin America & the Caribbean (IDA & IBRD countries),population,639188695,643602758
Timor-Leste,population,1320942,1341296
Middle East & North Africa (IDA & IBRD countries),population,413124452,419284769
Tonga,population,106017,106858
South Asia (IDA & IBRD),population,1901911604,1919348000
Sub-Saharan Africa (IDA & IBRD countries),population,1181163013,1211190002
Trinidad and Tobago,population,1525663,1531044
Tunisia,population,12262946,12356117
Turkiye,population,84147318,84979913
Tuvalu,population,11204,11312
Tanzania,population,63588334,65497748
Uganda,population,45853778,47249585
Ukraine,population,43822901,38000000
Upper middle income,population,2776124854,2784368143
Uruguay,population,3426260,3422794
United States,population,332031554,333287557
Uzbekistan,population,34915100,35648100
St. Vincent and the Grenadines,population,104332,103948
"Venezuela, RB",population,28199867,28301696
British Virgin Islands,population,31122,31305
Virgin Islands (U.S.),population,105870,105413
Viet Nam,population,97468029,98186856
Vanuatu,population,319137,326740
World,population,7888305693,7950946801
Samoa,population,218764,222382
Kosovo,population,1786038,1761985
"Yemen, Rep.",population,32981641,33696614
South Africa,population,59392255,59893885
Zambia,population,19473125,20017675
Zimbabwe,population,15993524,16320537
