country,Indicator Name,2021
Aruba,access_to_electricity%,100
Africa Eastern and Southern,access_to_electricity%,48.10360869
Afghanistan,access_to_electricity%,97.7
Africa Western and Central,access_to_electricity%,54.22418732
Angola,access_to_electricity%,48.22385406
Albania,access_to_electricity%,100
Andorra,access_to_electricity%,100
Arab World,access_to_electricity%,90.84566129
United Arab Emirates,access_to_electricity%,100
Argentina,access_to_electricity%,100
Armenia,access_to_electricity%,100
American Samoa,access_to_electricity%,
Antigua and Barbuda,access_to_electricity%,100
Australia,access_to_electricity%,100
Austria,access_to_electricity%,100
Azerbaijan,access_to_electricity%,100
Burundi,access_to_electricity%,10.23382759
Belgium,access_to_electricity%,100
Benin,access_to_electricity%,41.97363281
Burkina Faso,access_to_electricity%,18.95068741
Bangladesh,access_to_electricity%,98.99102783
Bulgaria,access_to_electricity%,99.8
Bahrain,access_to_electricity%,100
"Bahamas, The",access_to_electricity%,100
Bosnia and Herzegovina,access_to_electricity%,100
Belarus,access_to_electricity%,100
Belize,access_to_electricity%,97.6921463
Bermuda,access_to_electricity%,100
Bolivia,access_to_electricity%,98.55622864
Brazil,access_to_electricity%,99.46212006
Barbados,access_to_electricity%,100
Brunei Darussalam,access_to_electricity%,100
Bhutan,access_to_electricity%,100
Botswana,access_to_electricity%,73.72590637
Central African Republic,access_to_electricity%,15.68027687
Canada,access_to_electricity%,100
Central Europe and the Baltics,access_to_electricity%,99.98643619
Switzerland,access_to_electricity%,100
Channel Islands,access_to_electricity%,100
Chile,access_to_electricity%,100
China,access_to_electricity%,100
Cote d'Ivoire,access_to_electricity%,71.13684845
Cameroon,access_to_electricity%,65.44670868
"Congo, Dem. Rep.",access_to_electricity%,20.76818657
"Congo, Rep.",access_to_electricity%,49.65720367
Colombia,access_to_electricity%,99.99910736
Comoros,access_to_electricity%,87.94260406
Cabo Verde,access_to_electricity%,95.52141571
Costa Rica,access_to_electricity%,100
Caribbean small states,access_to_electricity%,98.91225037
Cuba,access_to_electricity%,100
Curacao,access_to_electricity%,100
Cayman Islands,access_to_electricity%,100
Cyprus,access_to_electricity%,100
Czechia,access_to_electricity%,100
Germany,access_to_electricity%,100
Djibouti,access_to_electricity%,65.44125366
Dominica,access_to_electricity%,100
Denmark,access_to_electricity%,100
Dominican Republic,access_to_electricity%,98.1
Algeria,access_to_electricity%,99.78782654
East Asia & Pacific (excluding high income),access_to_electricity%,97.96221483
Early-demographic dividend,access_to_electricity%,95.27369826
East Asia & Pacific,access_to_electricity%,98.15588816
Europe & Central Asia (excluding high income),access_to_electricity%,99.97139624
Europe & Central Asia,access_to_electricity%,99.98759077
Ecuador,access_to_electricity%,100
"Egypt, Arab Rep.",access_to_electricity%,100
Euro area,access_to_electricity%,100
Eritrea,access_to_electricity%,52.51404953
Spain,access_to_electricity%,100
Estonia,access_to_electricity%,100
Ethiopia,access_to_electricity%,54.18841553
European Union,access_to_electricity%,99.99692394
Fragile and conflict affected situations,access_to_electricity%,57.85188732
Finland,access_to_electricity%,100
Fiji,access_to_electricity%,92.1
France,access_to_electricity%,100
Faroe Islands,access_to_electricity%,100
"Micronesia, Fed. Sts.",access_to_electricity%,83.62497711
Gabon,access_to_electricity%,91.80640411
United Kingdom,access_to_electricity%,100
Georgia,access_to_electricity%,100
Ghana,access_to_electricity%,86.3
Gibraltar,access_to_electricity%,100
Guinea,access_to_electricity%,46.81386948
"Gambia, The",access_to_electricity%,63.69736099
Guinea-Bissau,access_to_electricity%,35.76379395
Equatorial Guinea,access_to_electricity%,66.78699493
Greece,access_to_electricity%,100
Grenada,access_to_electricity%,93.74029541
Greenland,access_to_electricity%,100
Guatemala,access_to_electricity%,97.86565399
Guam,access_to_electricity%,100
Guyana,access_to_electricity%,92.89823151
High income,access_to_electricity%,99.97833877
"Hong Kong SAR, China",access_to_electricity%,100
Honduras,access_to_electricity%,94.1315918
Heavily indebted poor countries (HIPC),access_to_electricity%,48.04843016
Croatia,access_to_electricity%,100
Haiti,access_to_electricity%,47.18033218
Hungary,access_to_electricity%,100
IBRD only,access_to_electricity%,99.10323062
IDA & IBRD total,access_to_electricity%,90.0980679
IDA total,access_to_electricity%,65.58440633
IDA blend,access_to_electricity%,76.61974835
Indonesia,access_to_electricity%,99.21
IDA only,access_to_electricity%,60.12763358
Isle of Man,access_to_electricity%,100
India,access_to_electricity%,99.57252502
Not classified,access_to_electricity%,
Ireland,access_to_electricity%,100
"Iran, Islamic Rep.",access_to_electricity%,100
Iraq,access_to_electricity%,100
Iceland,access_to_electricity%,100
Israel,access_to_electricity%,100
Italy,access_to_electricity%,100
Jamaica,access_to_electricity%,100
Jordan,access_to_electricity%,99.9
Japan,access_to_electricity%,100
