country,Indicator Name,2021
Aruba,renewvable_energy_consumption%,8.5
Africa Eastern and Southern,renewvable_energy_consumption%,
Afghanistan,renewvable_energy_consumption%,17.86
Africa Western and Central,renewvable_energy_consumption%,
Angola,renewvable_energy_consumption%,
Albania,renewvable_energy_consumption%,
Andorra,renewvable_energy_consumption%,20.59
Arab World,renewvable_energy_consumption%,
United Arab Emirates,renewvable_energy_consumption%,
Argentina,renewvable_energy_consumption%,
Armenia,renewvable_energy_consumption%,
American Samoa,renewvable_energy_consumption%,0.52
Antigua and Barbuda,renewvable_energy_consumption%,0.72
Australia,renewvable_energy_consumption%,
Austria,renewvable_energy_consumption%,
Azerbaijan,renewvable_energy_consumption%,
Burundi,renewvable_energy_consumption%,83.25
Belgium,renewvable_energy_consumption%,
Benin,renewvable_energy_consumption%,
Burkina Faso,renewvable_energy_consumption%,68
Bangladesh,renewvable_energy_consumption%,
Bulgaria,renewvable_energy_consumption%,
Bahrain,renewvable_energy_consumption%,
"Bahamas, The",renewvable_energy_consumption%,1.27
Bosnia and Herzegovina,renewvable_energy_consumption%,
Belarus,renewvable_energy_consumption%,
Belize,renewvable_energy_consumption%,31.35
Bermuda,renewvable_energy_consumption%,0.91
Bolivia,renewvable_energy_consumption%,
Brazil,renewvable_energy_consumption%,
Barbados,renewvable_energy_consumption%,4.68
Brunei Darussalam,renewvable_energy_consumption%,
Bhutan,renewvable_energy_consumption%,87.45
Botswana,renewvable_energy_consumption%,
Central African Republic,renewvable_energy_consumption%,90.45
Canada,renewvable_energy_consumption%,
Central Europe and the Baltics,renewvable_energy_consumption%,
Switzerland,renewvable_energy_consumption%,
Channel Islands,renewvable_energy_consumption%,
Chile,renewvable_energy_consumption%,
China,renewvable_energy_consumption%,
Cote d'Ivoire,renewvable_energy_consumption%,
Cameroon,renewvable_energy_consumption%,
"Congo, Dem. Rep.",renewvable_energy_consumption%,
"Congo, Rep.",renewvable_energy_consumption%,
Colombia,renewvable_energy_consumption%,
Comoros,renewvable_energy_consumption%,39.05
Cabo Verde,renewvable_energy_consumption%,23.24
Costa Rica,renewvable_energy_consumption%,
Caribbean small states,renewvable_energy_consumption%,
Cuba,renewvable_energy_consumption%,
Curacao,renewvable_energy_consumption%,
Cayman Islands,renewvable_energy_consumption%,0.01
Cyprus,renewvable_energy_consumption%,
Czechia,renewvable_energy_consumption%,
Germany,renewvable_energy_consumption%,
Djibouti,renewvable_energy_consumption%,30.94
Dominica,renewvable_energy_consumption%,8.34
Denmark,renewvable_energy_consumption%,
Dominican Republic,renewvable_energy_consumption%,
Algeria,renewvable_energy_consumption%,
East Asia & Pacific (excluding high income),renewvable_energy_consumption%,
Early-demographic dividend,renewvable_energy_consumption%,
East Asia & Pacific,renewvable_energy_consumption%,
Europe & Central Asia (excluding high income),renewvable_energy_consumption%,
Europe & Central Asia,renewvable_energy_consumption%,
Ecuador,renewvable_energy_consumption%,
"Egypt, Arab Rep.",renewvable_energy_consumption%,
Euro area,renewvable_energy_consumption%,
Eritrea,renewvable_energy_consumption%,
Spain,renewvable_energy_consumption%,
Estonia,renewvable_energy_consumption%,
Ethiopia,renewvable_energy_consumption%,
European Union,renewvable_energy_consumption%,
Fragile and conflict affected situations,renewvable_energy_consumption%,
Finland,renewvable_energy_consumption%,
Fiji,renewvable_energy_consumption%,29.8
France,renewvable_energy_consumption%,
Faroe Islands,renewvable_energy_consumption%,5.31
"Micronesia, Fed. Sts.",renewvable_energy_consumption%,2.03
Gabon,renewvable_energy_consumption%,
United Kingdom,renewvable_energy_consumption%,
Georgia,renewvable_energy_consumption%,
Ghana,renewvable_energy_consumption%,
Gibraltar,renewvable_energy_consumption%,
Guinea,renewvable_energy_consumption%,65.53
"Gambia, The",renewvable_energy_consumption%,48.74
Guinea-Bissau,renewvable_energy_consumption%,87.26
Equatorial Guinea,renewvable_energy_consumption%,5.99
Greece,renewvable_energy_consumption%,
Grenada,renewvable_energy_consumption%,9.96
Greenland,renewvable_energy_consumption%,11.76
Guatemala,renewvable_energy_consumption%,
Guam,renewvable_energy_consumption%,3.55
Guyana,renewvable_energy_consumption%,11.97
High income,renewvable_energy_consumption%,
"Hong Kong SAR, China",renewvable_energy_consumption%,
Honduras,renewvable_energy_consumption%,
Heavily indebted poor countries (HIPC),renewvable_energy_consumption%,
Croatia,renewvable_energy_consumption%,
Haiti,renewvable_energy_consumption%,
Hungary,renewvable_energy_consumption%,
IBRD only,renewvable_energy_consumption%,
IDA & IBRD total,renewvable_energy_consumption%,
IDA total,renewvable_energy_consumption%,
IDA blend,renewvable_energy_consumption%,
Indonesia,renewvable_energy_consumption%,
IDA only,renewvable_energy_consumption%,
Isle of Man,renewvable_energy_consumption%,2.22
India,renewvable_energy_consumption%,
Not classified,renewvable_energy_consumption%,
Ireland,renewvable_energy_consumption%,
"Iran, Islamic Rep.",renewvable_energy_consumption%,
Iraq,renewvable_energy_consumption%,
Iceland,renewvable_energy_consumption%,
Israel,renewvable_energy_consumption%,
Italy,renewvable_energy_consumption%,
Jamaica,renewvable_energy_consumption%,
Jordan,renewvable_energy_consumption%,
Japan,renewvable_energy_consumption%,
Kazakhstan,renewvable_energy_consumption%,
Kenya,renewvable_energy_consumption%,
Kyrgyz Republic,renewvable_energy_consumption%,
Cambodia,renewvable_energy_consumption%,
Kiribati,renewvable_energy_consumption%,42.8
St. Kitts and Nevis,renewvable_energy_consumption%,1.38
"Korea, Rep.",renewvable_energy_consumption%,
Kuwait,renewvable_energy_consumption%,
Latin America & Caribbean (excluding high income),renewvable_energy_consumption%,
Lao PDR,renewvable_energy_consumption%,50.01
Lebanon,renewvable_energy_consumption%,
Liberia,renewvable_energy_consumption%,92.94
Libya,renewvable_energy_consumption%,
St. Lucia,renewvable_energy_consumption%,9.66
Latin America & Caribbean,renewvable_energy_consumption%,
Least developed countries: UN classification,renewvable_energy_consumption%,
Low income,renewvable_energy_consumption%,
Liechtenstein,renewvable_energy_consumption%,55.31
Sri Lanka,renewvable_energy_consumption%,
Lower middle income,renewvable_energy_consumption%,
Low & middle income,renewvable_energy_consumption%,
Lesotho,renewvable_energy_consumption%,32.29
Late-demographic dividend,renewvable_energy_consumption%,
Lithuania,renewvable_energy_consumption%,
Luxembourg,renewvable_energy_consumption%,
Latvia,renewvable_energy_consumption%,
"Macao SAR, China",renewvable_energy_consumption%,13.54
St. Martin (French part),renewvable_energy_consumption%,
Morocco,renewvable_energy_consumption%,
Monaco,renewvable_energy_consumption%,
Moldova,renewvable_energy_consumption%,
Madagascar,renewvable_energy_consumption%,83.63
Maldives,renewvable_energy_consumption%,1.04
Middle East & North Africa,renewvable_energy_consumption%,
Mexico,renewvable_energy_consumption%,
Marshall Islands,renewvable_energy_consumption%,12.06
Middle income,renewvable_energy_consumption%,
North Macedonia,renewvable_energy_consumption%,
Mali,renewvable_energy_consumption%,63.76
Malta,renewvable_energy_consumption%,
Myanmar,renewvable_energy_consumption%,
Middle East & North Africa (excluding high income),renewvable_energy_consumption%,
Montenegro,renewvable_energy_consumption%,
Mongolia,renewvable_energy_consumption%,
Northern Mariana Islands,renewvable_energy_consumption%,0.48
Mozambique,renewvable_energy_consumption%,
Mauritania,renewvable_energy_consumption%,23.44
Mauritius,renewvable_energy_consumption%,
Malawi,renewvable_energy_consumption%,75.17
Malaysia,renewvable_energy_consumption%,
North America,renewvable_energy_consumption%,
Namibia,renewvable_energy_consumption%,
New Caledonia,renewvable_energy_consumption%,8.3
Niger,renewvable_energy_consumption%,
Nigeria,renewvable_energy_consumption%,
Nicaragua,renewvable_energy_consumption%,
Netherlands,renewvable_energy_consumption%,
Norway,renewvable_energy_consumption%,
Nepal,renewvable_energy_consumption%,
Nauru,renewvable_energy_consumption%,2.09
New Zealand,renewvable_energy_consumption%,
OECD members,renewvable_energy_consumption%,
Oman,renewvable_energy_consumption%,
Other small states,renewvable_energy_consumption%,
Pakistan,renewvable_energy_consumption%,
Panama,renewvable_energy_consumption%,
Peru,renewvable_energy_consumption%,
Philippines,renewvable_energy_consumption%,
Palau,renewvable_energy_consumption%,0.88
Papua New Guinea,renewvable_energy_consumption%,53.48
Poland,renewvable_energy_consumption%,
Pre-demographic dividend,renewvable_energy_consumption%,
Puerto Rico,renewvable_energy_consumption%,2.46
"Korea, Dem. People's Rep.",renewvable_energy_consumption%,
Portugal,renewvable_energy_consumption%,
Paraguay,renewvable_energy_consumption%,
West Bank and Gaza,renewvable_energy_consumption%,14.73
Pacific island small states,renewvable_energy_consumption%,
Post-demographic dividend,renewvable_energy_consumption%,
French Polynesia,renewvable_energy_consumption%,7.39
Qatar,renewvable_energy_consumption%,
Romania,renewvable_energy_consumption%,
Russian Federation,renewvable_energy_consumption%,
Rwanda,renewvable_energy_consumption%,81.39
South Asia,renewvable_energy_consumption%,
Saudi Arabia,renewvable_energy_consumption%,
Sudan,renewvable_energy_consumption%,
Senegal,renewvable_energy_consumption%,
Singapore,renewvable_energy_consumption%,
Solomon Islands,renewvable_energy_consumption%,49.08
Sierra Leone,renewvable_energy_consumption%,71.17
El Salvador,renewvable_energy_consumption%,
San Marino,renewvable_energy_consumption%,
Somalia,renewvable_energy_consumption%,95.37
Serbia,renewvable_energy_consumption%,
Sub-Saharan Africa (excluding high income),renewvable_energy_consumption%,
South Sudan,renewvable_energy_consumption%,
Sub-Saharan Africa,renewvable_energy_consumption%,
Small states,renewvable_energy_consumption%,
Sao Tome and Principe,renewvable_energy_consumption%,40.75
Suriname,renewvable_energy_consumption%,
Slovak Republic,renewvable_energy_consumption%,
Slovenia,renewvable_energy_consumption%,
Sweden,renewvable_energy_consumption%,
Eswatini,renewvable_energy_consumption%,68.77
Sint Maarten (Dutch part),renewvable_energy_consumption%,0.05
Seychelles,renewvable_energy_consumption%,1.75
Syrian Arab Republic,renewvable_energy_consumption%,
Turks and Caicos Islands,renewvable_energy_consumption%,0.5
Chad,renewvable_energy_consumption%,73.74
East Asia & Pacific (IDA & IBRD countries),renewvable_energy_consumption%,
Europe & Central Asia (IDA & IBRD countries),renewvable_energy_consumption%,
Togo,renewvable_energy_consumption%,
Thailand,renewvable_energy_consumption%,
Tajikistan,renewvable_energy_consumption%,
Turkmenistan,renewvable_energy_consumption%,
Latin America & the Caribbean (IDA & IBRD countries),renewvable_energy_consumption%,
Timor-Leste,renewvable_energy_consumption%,11.11
Middle East & North Africa (IDA & IBRD countries),renewvable_energy_consumption%,
Tonga,renewvable_energy_consumption%,2.06
South Asia (IDA & IBRD),renewvable_energy_consumption%,
Sub-Saharan Africa (IDA & IBRD countries),renewvable_energy_consumption%,
Trinidad and Tobago,renewvable_energy_consumption%,
Tunisia,renewvable_energy_consumption%,
Turkiye,renewvable_energy_consumption%,
Tuvalu,renewvable_energy_consumption%,6.68
Tanzania,renewvable_energy_consumption%,
Uganda,renewvable_energy_consumption%,93.03
Ukraine,renewvable_energy_consumption%,
Upper middle income,renewvable_energy_consumption%,
Uruguay,renewvable_energy_consumption%,
United States,renewvable_energy_consumption%,
Uzbekistan,renewvable_energy_consumption%,
St. Vincent and the Grenadines,renewvable_energy_consumption%,5.01
"Venezuela, RB",renewvable_energy_consumption%,
British Virgin Islands,renewvable_energy_consumption%,1.38
Virgin Islands (U.S.),renewvable_energy_consumption%,5.1
Viet Nam,renewvable_energy_consumption%,
Vanuatu,renewvable_energy_consumption%,22.73
World,renewvable_energy_consumption%,
Samoa,renewvable_energy_consumption%,37.57
Kosovo,renewvable_energy_consumption%,
"Yemen, Rep.",renewvable_energy_consumption%,
South Africa,renewvable_energy_consumption%,
Zambia,renewvable_energy_consumption%,
Zimbabwe,renewvable_energy_consumption%,
